size,k,runs_linear,select_p50_linear_s,select_p95_linear_s,total_p50_linear_s,total_p95_linear_s,runs_kdtree,select_p50_kdtree_s,select_p95_kdtree_s,total_p50_kdtree_s,total_p95_kdtree_s,delta_select_p50_s,delta_select_p95_s,delta_total_p50_s,delta_total_p95_s,delta_select_p50_pct,delta_select_p95_pct,delta_total_p50_pct,delta_total_p95_pct,speedup_select_p50_x,speedup_select_p95_x,speedup_total_p50_x,speedup_total_p95_x
681,9,14,0.838806,1.3103675,8.865804,9.39892645,14,0.0032965,0.0048098,8.185852,8.6081685,0.8355095,1.3055577,0.679952,0.79075795,99.6070009036654,99.6329426668473,7.66937775750513,8.41327947618954,254.453511299863,272.437003617614,1.08306429190266,1.09186134658029
681,12,14,0.4343375,0.60023015,8.461492,8.77877595,14,0.002016,0.00253865,8.338058,8.5168425,0.4323215,0.5976915,0.123434,0.261933450000001,99.5358448211356,99.5770539017409,1.45877346453793,2.98371266668448,215.445188492064,236.436747877809,1.01480368690167,1.03075476034692
1000,1,14,4.771662,6.33945635,13.1490515,14.7381047,14,0.009987,0.02263135,8.5211255,8.9427588,4.761675,6.316825,4.627926,5.7953459,99.7907018560828,99.6430080317534,35.1958922664498,39.3221924933129,477.787323520577,280.118346894905,1.54311205720418,1.64804900027048
1000,3,14,3.1841665,4.3806968,11.3040755,12.6984198,14,0.0071005,0.01124885,8.423424,8.66857735,3.177066,4.36944795,2.8806515,4.02984245,99.7770060076946,99.7432177912884,25.4833002486581,31.734991545956,448.442574466587,389.435080030403,1.34198106375745,1.46487933224706
1000,6,14,2.042712,3.0376396,10.3523135,11.32123825,14,0.0051935,0.0149982,8.490197,8.78015975,2.0375185,3.0226414,1.8621165,2.5410785,99.7457546634083,99.5062547907263,17.9874430966566,22.4452347339303,393.32088187157,202.533610699951,1.21932547619331,1.28941141987764
1000,9,14,1.2564015,1.8975239,9.6145995,10.31923355,14,0.0036275,0.00550735,8.3157295,8.73857215,1.252774,1.89201655,1.29887,1.5806614,99.7112786000335,99.7097612314659,13.5093510655332,15.3176240497047,346.354651964163,344.543909502755,1.15619435432574,1.18088325791302
1000,12,14,0.601677,0.8885093,8.829871,9.125974,14,0.002299,0.0028812,8.3625435,8.6628461,0.599378,0.8856281,0.4673275,0.4631279,99.617901299202,99.6757265230651,5.29257448948008,5.07483256033822,261.71248368856,308.381681243926,1.05588341633141,1.05346140225208
2365,1,14,11.271418,15.139982,19.953095,23.86298805,14,0.012664,0.04026295,8.794785,9.06124915,11.258754,15.09971905,11.15831,14.8017389,99.8876450150283,99.7340621012627,55.9227027185507,62.0280195798866,890.036165508528,376.027638312642,2.26874164632791,2.63352079332241
2365,3,14,7.7206695,10.50033995,16.426101,19.2300523,14,0.0093265,0.01988265,8.876366,9.2091529,7.711343,10.4804573,7.549735,10.0208994,99.8792008905445,99.8106475590821,45.9618201543994,52.1106195847424,827.820672277918,528.115716466367,1.85054345438212,2.08814562086378
2365,6,14,5.0034535,7.2337671,13.5630665,15.75501915,14,0.006472,0.0094297,8.926203,9.13623715,4.9969815,7.2243374,4.6368635,6.618782,99.8706493424991,99.8696433010678,34.1874273048798,42.0106249125061,773.092320766378,767.125900081657,1.51946650776372,1.72445383053569
